Date,usd_krw_usd_krw_Open,usd_krw_usd_krw_High,usd_krw_usd_krw_Low,usd_krw_usd_krw_Close,usd_krw_usd_krw_Adj Close,usd_krw_usd_krw_Volume,Open,High,Low,Close,Volume,Change,UpDown,Comp,Amount,MarCap
2003-12-01,1197.300049,1203.5,1195.0,1198.400024,1198.400024,0.0,796.36,811.49,790.8,807.39,584981695,0.0141,1,11.21,2550377558805,349500523487910
2003-12-02,1198.099976,1198.5,1186.199951,1195.0,1195.0,0.0,813.49,813.95,806.3,807.78,531989534,0.0005,1,0.39,2437988447945,349565163750845
2003-12-03,1195.0,1198.400024,1192.5,1192.5,1192.5,0.0,807.17,816.02,801.08,808.34,440581943,0.0007000000000000001,1,0.56,2428345205640,349870920905375
2003-12-04,1192.599976,1197.900024,1174.800049,1190.099976,1190.099976,0.0,805.1,809.68,800.31,805.13,493935192,-0.004,2,-3.21,2390462801590,348454820024130
2003-12-05,1189.400024,1193.800049,1178.599976,1184.699951,1184.699951,0.0,802.71,802.86,789.41,789.41,426505593,-0.0195,2,-15.72,2144828459030,341762940055240
2003-12-08,1185.900024,1187.800049,1173.0,1185.599976,1185.599976,0.0,780.23,791.77,777.08,784.8,339973255,-0.0058,2,-4.61,1809536555030,340012104151475
2003-12-09,1185.800049,1188.099976,1172.099976,1182.699951,1182.699951,0.0,790.52,793.13,784.6,787.35,398091984,0.0032,1,2.55,1696317093970,341055341248240
2003-12-10,1182.5,1186.400024,1172.300049,1176.400024,1176.400024,0.0,774.53,794.64,774.04,794.64,454614254,0.009300000000000001,1,7.29,2687862785050,344247740350620
2003-12-11,1176.300049,1189.699951,1168.800049,1169.900024,1169.900024,0.0,797.12,805.81,791.13,791.13,424779509,-0.0044,2,-3.51,3170817918890,342866029746980
2003-12-12,1169.599976,1185.599976,1169.300049,1173.199951,1173.199951,0.0,806.42,810.68,801.33,806.08,423443474,0.0189,1,14.95,2763531843055,349299800509895
2003-12-15,1194.199951,1194.800049,1169.099976,1179.900024,1179.900024,0.0,821.62,824.26,814.73,822.16,404611719,0.0199,1,16.08,2603252944665,356053883898465
2003-12-16,1179.900024,1190.199951,1176.400024,1179.800049,1179.800049,0.0,807.32,817.56,804.17,810.79,462744479,-0.0138,2,-11.37,2972715394455,351308425041700
2003-12-17,1180.199951,1190.300049,1175.599976,1187.0,1187.0,0.0,816.98,817.39,799.82,800.09,479488543,-0.0132,2,-10.7,4012792496960,346602964902955
2003-12-18,1187.099976,1189.5,1177.400024,1183.800049,1183.800049,0.0,803.6,808.94,797.46,807.5,493068976,0.009300000000000001,1,7.41,2845024754950,349889765012290
2003-12-19,1183.900024,1194.0,1178.199951,1192.800049,1192.800049,0.0,814.89,817.5,809.17,811.2,480452656,0.0046,1,3.7,2670290463630,351514515993095
2003-12-22,1195.5,1196.199951,1180.400024,1195.5,1195.5,0.0,809.57,815.55,804.53,804.54,344954395,-0.008199999999999999,2,-6.66,2032142094235,348720998050520
2003-12-23,1195.5,1197.5,1168.099976,1195.400024,1195.400024,0.0,809.9,812.75,801.62,801.88,406065596,-0.0033,2,-2.66,2063800040325,347512849576905
2003-12-24,1195.199951,1201.300049,1194.699951,1200.5,1200.5,0.0,808.41,808.58,792.37,792.55,503657402,-0.0116,2,-9.33,2511504448815,346976716798985
2003-12-26,1199.400024,1201.199951,1197.300049,1200.699951,1200.699951,0.0,791.39,794.78,786.11,788.85,414254207,-0.004699999999999999,2,-3.7,1965554864152,346007268470880
2003-12-29,1200.5,1200.900024,1184.900024,1186.099976,1186.099976,0.0,779.24,792.44,779.24,792.44,282393340,0.0046,1,3.59,1546494452200,347156201752975
2003-12-30,1185.900024,1198.300049,1184.300049,1194.800049,1194.800049,0.0,802.5,811.89,800.15,810.71,385852448,0.0231,1,18.27,2026774090535,355362625966515
2004-01-02,1181.699951,1195.800049,1180.400024,1195.800049,1195.800049,0.0,816.26,821.87,813.63,821.26,307493634,0.013000000000000001,1,10.55,1930260966450,359908667785795
2004-01-05,1190.400024,1193.800049,1178.599976,1178.900024,1178.900024,0.0,817.28,825.43,816.55,824.1,408258594,0.0034999999999999996,1,2.84,2226123068220,361232703646890
2004-01-06,1179.0,1189.699951,1172.699951,1189.400024,1189.400024,0.0,831.26,831.26,819.53,823.43,484054833,-0.0008,2,-0.67,2677546639895,361128662481480
2004-01-07,1189.300049,1191.5,1173.300049,1176.800049,1176.800049,0.0,826.08,831.07,825.23,827.07,404563880,0.0044,1,3.64,2313099060125,362825279038845
2004-01-08,1177.199951,1183.199951,1169.099976,1171.0,1171.0,0.0,831.1,839.28,824.15,824.15,428758512,-0.0034999999999999996,2,-2.92,3406925134030,361806135456105
2004-01-09,1170.900024,1186.0,1157.699951,1181.300049,1181.300049,0.0,835.42,849.5,835.05,845.27,543285519,0.0256,1,21.12,4162562112875,371422795445805
2004-01-12,1182.199951,1183.900024,1161.699951,1168.800049,1168.800049,0.0,843.96,853.5,840.11,850.79,443937948,0.006500000000000001,1,5.52,3109483842410,373985846837485
2004-01-13,1168.5,1181.300049,1166.199951,1175.300049,1175.300049,0.0,855.42,855.45,844.82,848.43,400184482,-0.0028000000000000004,2,-2.36,2533800011030,372819097872115
2004-01-14,1175.699951,1195.099976,1156.0,1175.199951,1175.199951,0.0,847.27,855.29,844.55,849.62,453005415,0.0014000000000000002,1,1.19,2707999317395,373150993120775
2004-01-15,1175.5,1186.900024,1172.5,1174.5,1174.5,0.0,849.02,852.19,841.84,845.66,388389883,-0.004699999999999999,2,-3.96,2646765732965,371572926992490
2004-01-16,1174.400024,1189.900024,1173.199951,1186.699951,1186.699951,0.0,853.67,854.46,845.4,847.95,424963766,0.0027,1,2.29,2342790440985,372728141983075
2004-01-19,1187.599976,1189.599976,1171.900024,1187.5,1187.5,0.0,854.96,859.34,851.34,856.8,404253163,0.0104,1,8.85,2442871885960,376719294080945
2004-01-20,1187.699951,1188.900024,1174.800049,1176.699951,1176.699951,0.0,854.03,864.26,853.05,861.37,364450495,0.0053,1,4.57,2403402718800,378896346632960
2004-01-26,1187.099976,1188.099976,1167.599976,1174.5,1174.5,0.0,867.65,871.94,861.82,869.04,494021335,0.0089,1,7.67,3383598627125,382618456441245
2004-01-27,1174.599976,1179.599976,1162.800049,1167.800049,1167.800049,0.0,873.61,873.61,860.88,863.03,437707075,-0.0069,2,-6.01,2877310323515,380092209888150
2004-01-28,1168.0,1178.300049,1157.199951,1176.400024,1176.400024,0.0,860.37,869.21,859.08,859.59,432891393,-0.004,2,-3.44,3156315394680,379597227413190
2004-01-29,1176.300049,1176.300049,1157.400024,1158.199951,1158.199951,0.0,851.7,854.82,847.98,853.47,365346457,-0.0070999999999999995,2,-6.12,2495465705220,376413419777320
2004-01-30,1158.400024,1177.199951,1149.099976,1160.0,1160.0,0.0,854.21,859.13,846.05,848.5,447364704,-0.0058,2,-4.97,2675229774355,374128607653850
2004-02-02,1170.300049,1171.900024,1156.400024,1158.400024,1158.400024,0.0,850.28,855.43,847.74,854.89,425187078,0.0075,1,6.39,1959356454710,376702237486200
2004-02-03,1169.099976,1172.599976,1155.199951,1170.300049,1170.300049,0.0,853.13,853.13,837.63,839.87,461984026,-0.0176,2,-15.02,2651093759010,370371202023540
2004-02-04,1169.400024,1172.599976,1155.199951,1168.900024,1168.900024,0.0,838.52,842.6,834.7,835.5,378597318,-0.0052,2,-4.37,2321909840930,368598658981195
2004-02-05,1169.099976,1170.5,1153.0,1157.699951,1157.699951,0.0,835.77,842.44,834.73,840.92,635917948,0.006500000000000001,1,5.42,2917200119150,371202227898205
2004-02-06,1157.699951,1171.199951,1153.900024,1167.300049,1167.300049,0.0,842.16,853.58,839.43,850.23,541538076,0.0111,1,9.31,2926291789500,375745289582870
2004-02-09,1171.599976,1171.599976,1152.099976,1152.800049,1152.800049,0.0,860.9,866.87,859.58,864.77,475219263,0.0171,1,14.54,2906085462570,381959161903580
2004-02-10,1153.0,1166.599976,1148.300049,1165.599976,1165.599976,0.0,866.06,869.62,862.85,866.8,450039225,0.0023,1,2.03,2643590868170,382659864262370
2004-02-11,1165.5,1166.0,1148.0,1160.900024,1160.900024,0.0,870.54,877.72,870.24,876.34,475304230,0.011000000000000001,1,9.54,3047669994010,386622363779785
2004-02-12,1160.800049,1162.0,1147.099976,1159.199951,1159.199951,0.0,882.04,882.39,872.27,877.95,444121696,0.0018,1,1.61,3098881502190,385912621804825
2004-02-13,1159.199951,1161.0,1145.300049,1159.699951,1159.699951,0.0,876.06,883.35,870.08,882.18,385305950,0.0048,1,4.23,2644351976690,387827288621005
2004-02-16,1159.300049,1160.300049,1146.099976,1147.699951,1147.699951,0.0,879.23,885.65,876.56,881.28,437969451,-0.001,2,-0.9,2783141878125,387186855210270
2004-02-17,1147.699951,1159.300049,1145.0,1156.900024,1156.900024,0.0,884.15,888.73,880.87,884.8,435761992,0.004,1,3.52,2633738560365,388578317198550
2004-02-18,1153.800049,1154.300049,1138.900024,1147.699951,1147.699951,0.0,889.23,890.51,877.1,877.1,370523257,-0.0087,2,-7.7,2517269069675,385267041277305
2004-02-19,1147.400024,1164.0,1146.099976,1147.0,1147.0,0.0,880.68,884.89,874.75,881.65,734768534,0.0052,1,4.55,3022804889190,387678843576855
2004-02-20,1146.900024,1167.800049,1146.699951,1157.5,1157.5,0.0,875.76,879.63,872.42,877.49,475493710,-0.004699999999999999,2,-4.16,2202384022040,385993532828460
2004-02-23,1172.699951,1183.800049,1166.699951,1179.400024,1179.400024,0.0,874.93,881.43,867.99,877.52,476208051,0.0,1,0.03,2265145361830,386151094649500
2004-02-24,1179.400024,1183.5,1162.0,1180.099976,1180.099976,0.0,872.45,876.71,864.34,864.59,549389893,-0.0147,2,-12.93,2614283581240,380411652896140
2004-02-25,1180.0,1180.400024,1157.300049,1158.800049,1158.800049,0.0,865.22,870.03,862.97,866.87,524662607,0.0026,1,2.28,2361336910493,381258970420345
2004-02-26,1158.699951,1177.400024,1157.300049,1165.800049,1165.800049,0.0,870.31,873.15,861.77,864.86,522863470,-0.0023,2,-2.01,2231518154560,380404726167860
2004-02-27,1165.900024,1177.5,1160.900024,1172.800049,1172.800049,0.0,865.51,883.42,861.86,883.42,458651734,0.0215,1,18.56,2576072422299,388848390165065
2004-03-02,1176.699951,1178.300049,1160.0,1163.0,1163.0,0.0,892.57,899.99,892.38,899.21,489083524,0.0179,1,15.79,3372834383940,395768462358055
2004-03-03,1162.699951,1179.199951,1153.900024,1156.599976,1156.599976,0.0,897.49,900.44,895.52,895.81,554723288,-0.0038,2,-3.4,3312981873290,394196073788105
2004-03-04,1156.699951,1171.699951,1156.199951,1160.0,1160.0,0.0,898.16,908.82,896.76,907.43,589054279,0.013000000000000001,1,11.62,3336583834595,399274806991905
2004-03-05,1159.900024,1176.199951,1157.800049,1175.699951,1175.699951,0.0,907.21,909.08,904.01,905.38,515727056,-0.0023,2,-2.05,3183510405835,398333450297680
2004-03-08,1175.800049,1177.800049,1156.300049,1156.599976,1156.599976,0.0,909.15,910.67,899.07,900.1,506522541,-0.0058,2,-5.28,2729561862515,395855623038125
2004-03-09,1156.5,1184.300049,1153.599976,1181.400024,1181.400024,0.0,891.1,893.73,888.46,891.58,474379144,-0.0095,2,-8.52,2264018736440,392141982127665
2004-03-10,1156.5,1184.300049,1153.599976,1158.900024,1158.900024,0.0,887.11,890.33,874.58,876.02,457319370,-0.0175,2,-15.56,2446086297645,385419876906880
2004-03-11,1158.800049,1170.599976,1154.0,1162.0,1162.0,0.0,869.67,878.1,866.33,869.93,468743002,-0.006999999999999999,2,-6.09,3422984529415,382915479502445
2004-03-12,1162.099976,1181.300049,1161.5,1177.0,1177.0,0.0,866.72,867.35,822.05,848.8,655649823,-0.024300000000000002,2,-21.13,3819601491405,373581555117800
2004-03-15,1177.5,1178.099976,1157.800049,1170.400024,1170.400024,0.0,855.84,857.96,848.23,852.26,383660116,0.0040999999999999995,1,3.46,1986151107020,375050835331210
2004-03-16,1160.099976,1171.599976,1154.0,1171.400024,1171.400024,0.0,843.83,850.15,838.11,850.13,440153938,-0.0025,2,-2.13,2245929832250,373829593956385
2004-03-17,1171.699951,1174.699951,1150.5,1174.5,1174.5,0.0,858.15,872.78,857.29,872.38,524436644,0.0262,1,22.25,2547812226130,383661677908320
2004-03-18,1174.400024,1174.599976,1142.0,1159.300049,1159.300049,0.0,879.22,879.56,869.09,872.82,488459156,0.0005,1,0.44,2439760256315,383842859217035
2004-03-19,1159.099976,1170.5,1143.0,1170.5,1170.5,0.0,874.57,883.33,868.97,883.33,425077820,0.012,1,10.51,2181384582510,388716456649090
2004-03-22,1169.699951,1174.5,1144.599976,1163.099976,1163.099976,0.0,878.62,881.0,862.63,863.69,371613075,-0.0222,2,-19.64,2039805810445,380215724762210
2004-03-23,1163.199951,1165.199951,1145.199951,1163.300049,1163.300049,0.0,854.92,868.99,849.76,866.17,383757854,0.0029,1,2.48,2113179067320,381306553747480
